english,ipa,audio
altimetrically,ˌæltɪmˈɛtɹɪkli,assets_small\altimetrically.wav
ambuscaders,ˈæmbəskˌeɪdɚz,assets_small\ambuscaders.wav
amylose,ˈæmɪlˌoʊs,assets_small\amylose.wav
amortized,ɐmˈɔːɹɾaɪzd,assets_small\amortized.wav
amboyna,ˈæmbɔɪnə,assets_small\amboyna.wav
amebean,ˈeɪmbiːn,assets_small\amebean.wav
ambassies,ˈæmbɐsˌɪz,assets_small\ambassies.wav
amniotic,ˌæmnɪˈɑːɾɪk,assets_small\amniotic.wav
amidogen,ɐmˈɪdədʒən,assets_small\amidogen.wav
amateurish,ˈæmətʃɚɹɪʃ,assets_small\amateurish.wav
antiemetics,ˌæntɪɪmˈɛɾɪks,assets_small\antiemetics.wav
antiauthoritarianism,ˌæntɪˌɔːθoːɹɪtˈɛɹiənˌɪzəm,assets_small\antiauthoritarianism.wav
angiomata,ˌæŋɡɪəmˈɑːɾə,assets_small\angiomata.wav
antepasts,ˈæntɪpˌæsts,assets_small\antepasts.wav
antiaircraft,ˌæntɪˈɛɹkɹæft,assets_small\antiaircraft.wav
analogise,ɐnˈælədʒˌaɪz,assets_small\analogise.wav
anabaptizes,ˈænɐbˌæptaɪzᵻz,assets_small\anabaptizes.wav
angelhoods,ˈeɪndʒəlhˌʊdz,assets_small\angelhoods.wav
antechoirs,ˈæntɪkwˌaɪɚz,assets_small\antechoirs.wav
aoristic,eɪˈoːɹˈɪstɪk,assets_small\aoristic.wav
aorta,eɪˈoːɹɾə,assets_small\aorta.wav
aortitis,eɪˈoːɹtˈaɪɾɪs,assets_small\aortitis.wav
aoudad,ˈeɪəjˌuːdæd,assets_small\aoudad.wav
aortic,eɪˈoːɹɾɪk,assets_small\aortic.wav
aortitises,eɪˈoːɹɾɪtˌaɪzᵻz,assets_small\aortitises.wav
aortas,eɪˈoːɹɾəz,assets_small\aortas.wav
aortographies,eɪˌoːɹtˈɑːɡɹəfiz,assets_small\aortographies.wav
aorist,eɪˈoːɹɪst,assets_small\aorist.wav
applausive,ɐplˈɔːsɪv,assets_small\applausive.wav
apogeic,æpˈoʊdʒɪk,assets_small\apogeic.wav
appetences,ɐpˈɛtənsᵻz,assets_small\appetences.wav
appurtenance,ɐpˈɜːtənəns,assets_small\appurtenance.wav
appledrains,ˈæpəldɹˌeɪnz,assets_small\appledrains.wav
apophyseal,ɐpˈɑːfaɪsəl,assets_small\apophyseal.wav
appalti,ˈæpælti,assets_small\appalti.wav
apostolic,ɐpɔstˈɑːlɪk,assets_small\apostolic.wav
apomorphines,ɐpˈɑːmoːɹfˌiːnz,assets_small\apomorphines.wav
aquarobics,ˌækwɐɹˈoʊbɪks,assets_small\aquarobics.wav
aquaplanes,ˈækwɐplˌeɪnz,assets_small\aquaplanes.wav
aquatic,əkwˈæɾɪk,assets_small\aquatic.wav
aquatinted,əkwˈætɪntᵻd,assets_small\aquatinted.wav
aquae,ɐkwˈiː,assets_small\aquae.wav
aqueducts,ˈækwᵻdˌʌkts,assets_small\aqueducts.wav
aqueduct,ˈækwᵻdˌʌkt,assets_small\aqueduct.wav
aquarial,ɐkwˈɛɹɪəl,assets_small\aquarial.wav
aqualeathers,ˈækwɔlˌɛðɚz,assets_small\aqualeathers.wav
archdiocese,ˌɑːɹtʃdɪoʊsˈiːz,assets_small\archdiocese.wav
arils,ˈæɹəlz,assets_small\arils.wav
arpent,ˈɑːɹpənt,assets_small\arpent.wav
armorist,ˈɑːɹmoːɹˌɪst,assets_small\armorist.wav
arrowheads,ˈæɹoʊhˌɛdz,assets_small\arrowheads.wav
arced,ˈɑːɹkt,assets_small\arced.wav
araba,æɹˈɑːbə,assets_small\araba.wav
arfvedsonite,ˈɑːɹfvɪdsˌɑːnaɪt,assets_small\arfvedsonite.wav
ariels,ˈæɹiːəlz,assets_small\ariels.wav
aspirator,ˈæspɚɹˌeɪɾɚ,assets_small\aspirator.wav
askesis,æskˈiːsɪs,assets_small\askesis.wav
aspidium,æspˈɪdiəm,assets_small\aspidium.wav
asystolism,ɐsˈɪstoʊlˌɪzəm,assets_small\asystolism.wav
asphyxiates,ɐsfˈɪksɪˌeɪts,assets_small\asphyxiates.wav
astounded,ɐstˈaʊndᵻd,assets_small\astounded.wav
asseverating,ɐsˈɛvɚɹˌeɪɾɪŋ,assets_small\asseverating.wav
assimilator,ɐsˈɪmᵻlˌeɪɾɚ,assets_small\assimilator.wav
asswaging,ɐswɪdʒɪŋ,assets_small\asswaging.wav
atmosphered,ˈætmɑːsfɚd,assets_small\atmosphered.wav
attributional,ɐtɹɪbjˈuːʃənəl,assets_small\attributional.wav
atmolyzes,ˈætməlˌaɪzᵻz,assets_small\atmolyzes.wav
attender,ɐtˈɛndɚ,assets_small\attender.wav
attributions,ɐtɹɪbjˈuːʃənz,assets_small\attributions.wav
attained,ɐtˈeɪnd,assets_small\attained.wav
attitudinizings,ˈæɾɪtˌuːdɪnˌaɪzɪŋz,assets_small\attitudinizings.wav
attractively,ɐtɹˈæktɪvli,assets_small\attractively.wav
attemperment,ɐtˈɛmpɚmənt,assets_small\attemperment.wav
audiotaping,ˈɔːdɪˌoʊɾeɪpɪŋ,assets_small\audiotaping.wav
auricle,ˈɔːɹɪkəl,assets_small\auricle.wav
aurora,ɔːɹˈoːɹə,assets_small\aurora.wav
autolysing,ˌɔːɾoʊlˈaɪzɪŋ,assets_small\autolysing.wav
audiotypists,ˈɔːdɪˌoʊɾaɪpˌɪsts,assets_small\audiotypists.wav
autostabilities,ˌɔːɾəstəbˈɪlᵻɾiz,assets_small\autostabilities.wav
aurelian,ˈɔːɹᵻlˌaɪən,assets_small\aurelian.wav
autocrat,ˌɔːɾoʊkɹˈæt,assets_small\autocrat.wav
authenticate,ɔːθˈɛntᵻkˌeɪt,assets_small\authenticate.wav
avocational,ˌævəkˈeɪʃənəl,assets_small\avocational.wav
avised,ˈævaɪzd,assets_small\avised.wav
avouterer,ɐvˈaʊɾɚɹɚ,assets_small\avouterer.wav
avale,ˈæveɪl,assets_small\avale.wav
aviating,ˈeɪvɪˌeɪɾɪŋ,assets_small\aviating.wav
aventurin,ævˈɛntʃɚɹˌɪn,assets_small\aventurin.wav
avyzing,ˈævaɪzɪŋ,assets_small\avyzing.wav
avuncularity,ævˌʌŋkjʊlˈæɹᵻɾi,assets_small\avuncularity.wav
avels,ˈævəlz,assets_small\avels.wav
awing,ˈɔːɪŋ,assets_small\awing.wav
awash,ɐwˈɑːʃ,assets_small\awash.wav
awarer,ɐwˈɛɹɚ,assets_small\awarer.wav
awmries,ˈɔːmɹiz,assets_small\awmries.wav
awmrie,ˈɔːmɹi,assets_small\awmrie.wav
await,ɐwˈeɪt,assets_small\await.wav
awkwardest,ˈɔːkwɚdɪst,assets_small\awkwardest.wav
awayes,ɐwˈeɪz,assets_small\awayes.wav
awakening,ɐwˈeɪkənɪŋ,assets_small\awakening.wav
axillars,ˈæksɪlɚz,assets_small\axillars.wav
axonemal,ˈæksoʊnməl,assets_small\axonemal.wav
axinites,ˈæksɪnˌaɪts,assets_small\axinites.wav
axiomatic,ˌæksɪəmˈæɾɪk,assets_small\axiomatic.wav
axletrees,ˈækslɪtɹˌiːz,assets_small\axletrees.wav
axiology,ˌæksɪˈɑːlədʒi,assets_small\axiology.wav
axonometry,ˌæksənˈɑːmətɹi,assets_small\axonometry.wav
axoneme,ˈæksoʊnˌiːm,assets_small\axoneme.wav
axonometries,ˌæksənˈɑːmətɹiz,assets_small\axonometries.wav
ayelp,ˈaɪɛlp,assets_small\ayelp.wav
ayahuasca,ˈaɪɐhjˌuːæskə,assets_small\ayahuasca.wav
ayuntamiento,ˌaɪəntɐmˈiəntoʊ,assets_small\ayuntamiento.wav
ayenbites,ˈaɪənbˌaɪts,assets_small\ayenbites.wav
ayahuasco,ˌaɪɐhjuːˈæskoʊ,assets_small\ayahuasco.wav
ayahuascas,ˈaɪɐhjˌuːæskəz,assets_small\ayahuascas.wav
ayres,ˈɛɹz,assets_small\ayres.wav
aywords,ˈaɪwɜːdz,assets_small\aywords.wav
ayurveda,ˈaɪɚvˌɛdə,assets_small\ayurveda.wav
azotes,ˈæzoʊts,assets_small\azotes.wav
azoles,ˈæzoʊlz,assets_small\azoles.wav
azlons,ˈæzlɑːnz,assets_small\azlons.wav
azerty,ˈæzɚɾi,assets_small\azerty.wav
azygospore,ˈeɪzɪɡˌɑːspoːɹ,assets_small\azygospore.wav
azeotropic,ˌeɪzətɹˈɑːpɪk,assets_small\azeotropic.wav
azotemias,ˌæzoʊtˈiːmiəz,assets_small\azotemias.wav
azyme,ˈeɪzaɪm,assets_small\azyme.wav
azotaemias,ˌæzətˈiːmiəz,assets_small\azotaemias.wav
baracans,bˈæɹækənz,assets_small\baracans.wav
bavins,bˈævɪnz,assets_small\bavins.wav
basils,bˈeɪzəlz,assets_small\basils.wav
bagginesses,bˈæɡnəsᵻz,assets_small\bagginesses.wav
baulky,bˈɔːki,assets_small\baulky.wav
balustrade,bˈæləstɹˌeɪd,assets_small\balustrade.wav
bargaining,bˈɑːɹɡɪnɪŋ,assets_small\bargaining.wav
backbitten,bˈækbɪʔˌn̩,assets_small\backbitten.wav
barkentine,bˈɑːɹkəntˌaɪn,assets_small\barkentine.wav
bdelliums,bˈiːdˈɛliəmz,assets_small\bdelliums.wav
bdellium,bˈiːdˈɛliəm,assets_small\bdellium.wav
benames,bˈɛneɪmz,assets_small\benames.wav
belying,bᵻlˈaɪɪŋ,assets_small\belying.wav
behowl,bᵻhˈaʊl,assets_small\behowl.wav
benjamins,bˈɛndʒəmɪnz,assets_small\benjamins.wav
besoins,bᵻsˈɔɪnz,assets_small\besoins.wav
beneficial,bˌɛnɪfˈɪʃəl,assets_small\beneficial.wav
benzyl,bˈɛnzɪl,assets_small\benzyl.wav
bedraped,bᵻdɹˈeɪpt,assets_small\bedraped.wav
beechier,bˈiːtʃiɚ,assets_small\beechier.wav
bhawans,bˈæwənz,assets_small\bhawans.wav
bhuts,bˈʌts,assets_small\bhuts.wav
bhais,bˈaɪz,assets_small\bhais.wav
bhaji,bˈɑːdʒi,assets_small\bhaji.wav
bhelpuri,bˈɛlpjʊɹɹi,assets_small\bhelpuri.wav
bhaktis,bˈʌktiz,assets_small\bhaktis.wav
bharal,bˈæɹəl,assets_small\bharal.wav
bhajan,bˈædʒən,assets_small\bhajan.wav
bhajees,bˈædʒiːz,assets_small\bhajees.wav
biscotti,baɪskˈɑːɾi,assets_small\biscotti.wav
biface,baɪfˈeɪs,assets_small\biface.wav
bitonalities,baɪtənˈælᵻɾiz,assets_small\bitonalities.wav
billon,bˈɪlən,assets_small\billon.wav
biasings,bˈaɪəsɪŋz,assets_small\biasings.wav
bizzies,bˈɪzɪz,assets_small\bizzies.wav
bifacial,baɪfˈeɪʃəl,assets_small\bifacial.wav
bicuspids,baɪkˈʌspɪdz,assets_small\bicuspids.wav
billfish,bˈɪlfɪʃ,assets_small\billfish.wav
blackstrap,blˈækstɹæp,assets_small\blackstrap.wav
blipped,blˈɪpt,assets_small\blipped.wav
blimbings,blˈɪmɪŋz,assets_small\blimbings.wav
blusterier,blˈʌstɚɹiɚ,assets_small\blusterier.wav
bloggers,blˈɑːɡɚz,assets_small\bloggers.wav
blinked,blˈɪŋkt,assets_small\blinked.wav
blouses,blˈaʊzᵻz,assets_small\blouses.wav
bluegrass,blˈuːɡɹæs,assets_small\bluegrass.wav
blowup,blˈoʊʌp,assets_small\blowup.wav
bookkeeper,bˈʊkkiːpɚ,assets_small\bookkeeper.wav
bourguignon,bˈɜːɡwinjˌɑːn,assets_small\bourguignon.wav
boilover,bˈɔɪloʊvɚ,assets_small\boilover.wav
boobooks,bˈuːbʊks,assets_small\boobooks.wav
boasted,bˈoʊstᵻd,assets_small\boasted.wav
boustrophedon,bˈaʊstɹəfˌɛdən,assets_small\boustrophedon.wav
bombardiers,bˌɑːmbɚdˈɪɹz,assets_small\bombardiers.wav
bombed,bˈɑːmd,assets_small\bombed.wav
boddhisattva,bˈɑːdɪsˌætvə,assets_small\boddhisattva.wav
bratpacker,bɹˈætpækɚ,assets_small\bratpacker.wav
bresaolas,bɹˈɛseɪˌɑːləz,assets_small\bresaolas.wav
brecciated,bɹˈɛksɪˌeɪɾᵻd,assets_small\brecciated.wav
brainwasher,bɹˈeɪnwɑːʃɚ,assets_small\brainwasher.wav
bravas,bɹˈɑːvəz,assets_small\bravas.wav
bringdown,bɹˈɪŋdaʊn,assets_small\bringdown.wav
breids,bɹˈeɪdz,assets_small\breids.wav
brucellas,bɹuːtʃˈɛləz,assets_small\brucellas.wav
brachiator,bɹˈeɪʃəɾɚ,assets_small\brachiator.wav
bucksaws,bˈʌksɔːz,assets_small\bucksaws.wav
buriers,bˈɛɹɪɹz,assets_small\buriers.wav
buckshished,bˈʌkʃɪʃt,assets_small\buckshished.wav
bustee,bˈʌstiː,assets_small\bustee.wav
buddleia,bˈʌdəlˌiə,assets_small\buddleia.wav
bullfighter,bˈʊlfaɪɾɚ,assets_small\bullfighter.wav
bucellases,bjˈuːsɪlˌeɪzᵻz,assets_small\bucellases.wav
buntlines,bˈʌntlaɪnz,assets_small\buntlines.wav
bullfighters,bˈʊlfaɪɾɚz,assets_small\bullfighters.wav
bwanas,bˈiːwˈɑːnəz,assets_small\bwanas.wav
bwana,bˈiːwˈɑːnə,assets_small\bwana.wav
bwazi,bˈiːwˈæzi,assets_small\bwazi.wav
bwazis,bˈiːwˈæziz,assets_small\bwazis.wav
bylines,bˈaɪlaɪnz,assets_small\bylines.wav
byplace,bˈaɪpleɪs,assets_small\byplace.wav
bylaw,bˈaɪlɔː,assets_small\bylaw.wav
bylining,bˈaɪlaɪnɪŋ,assets_small\bylining.wav
byding,bˈaɪdɪŋ,assets_small\byding.wav
bygone,bˈaɪɡɑːn,assets_small\bygone.wav
byrewoman,bˈaɪɹuːˌʊmən,assets_small\byrewoman.wav
bylane,bˈaɪleɪn,assets_small\bylane.wav
bywoners,bˈaɪwənɚz,assets_small\bywoners.wav
cannelon,kˈænɛlən,assets_small\cannelon.wav
calendars,kˈæləndɚz,assets_small\calendars.wav
cannular,kˈænjʊlɚ,assets_small\cannular.wav
caricature,kˈæɹɪkətʃˌʊɹ,assets_small\caricature.wav
cavalry,kˈævəlɹi,assets_small\cavalry.wav
cartage,kˈɑːɹɾɪdʒ,assets_small\cartage.wav
cattily,kˈæɾɪli,assets_small\cattily.wav
cabombas,kæbˈɑːmbəz,assets_small\cabombas.wav
candytufts,kˈændɪtˌʌfts,assets_small\candytufts.wav
certain,sˈɜːʔn̩,assets_small\certain.wav
centries,sˈɛntɹiz,assets_small\centries.wav
cerge,sˈɜːdʒ,assets_small\cerge.wav
cellmates,sˈɛlmeɪts,assets_small\cellmates.wav
ceiled,sˈiːld,assets_small\ceiled.wav
centals,sˈɛntəlz,assets_small\centals.wav
cellarous,sˈɛlɚɹəs,assets_small\cellarous.wav
centralisations,sˌɛntɹələzˈeɪʃənz,assets_small\centralisations.wav
celestites,səlˈɛstaɪts,assets_small\celestites.wav
cheveryes,ʃˈɛvɹɪz,assets_small\cheveryes.wav
chiragrical,kaɪɹˈæɡɹɪkəl,assets_small\chiragrical.wav
chaulmugras,tʃɔːlmˈʌɡɹəz,assets_small\chaulmugras.wav
chargebacks,tʃˈɑːɹdʒɪbˌæks,assets_small\chargebacks.wav
chertiest,tʃˈɜːɾiɪst,assets_small\chertiest.wav
chrismon,kɹˈɪsmən,assets_small\chrismon.wav
chalybites,tʃˈælɪbˌaɪts,assets_small\chalybites.wav
chlorinise,klˈoːɹɪnˌaɪz,assets_small\chlorinise.wav
chamfering,tʃˈæmfɚɹɪŋ,assets_small\chamfering.wav
citrange,sˈɪtɹeɪndʒ,assets_small\citrange.wav
circuiting,sˈɜːkɪɾɪŋ,assets_small\circuiting.wav
cinches,sˈɪntʃᵻz,assets_small\cinches.wav
circulated,sˈɜːkjʊlˌeɪɾᵻd,assets_small\circulated.wav
circularise,sˈɜːkjʊlɚɹˌaɪz,assets_small\circularise.wav
cilice,sˈɪlɪs,assets_small\cilice.wav
circumcising,sˈɜːkəmsˌaɪzɪŋ,assets_small\circumcising.wav
circumspectness,sˈɜːkəmspˌɛktnəs,assets_small\circumspectness.wav
circumscribing,sˈɜːkəmskɹˌaɪbɪŋ,assets_small\circumscribing.wav
clerkliness,klˈɜːklinəs,assets_small\clerkliness.wav
closure,klˈoʊʒɚ,assets_small\closure.wav
cleared,klˈɪɹd,assets_small\cleared.wav
classier,klˈæsɪɚ,assets_small\classier.wav
clacker,klˈækɚ,assets_small\clacker.wav
clearly,klˈɪɹli,assets_small\clearly.wav
clans,klˈænz,assets_small\clans.wav
clings,klˈɪŋz,assets_small\clings.wav
claver,klˈeɪvɚ,assets_small\claver.wav
cnidarians,sˈiːnɪdˈɛɹiənz,assets_small\cnidarians.wav
cnidae,sˈiːnˈɪdiː,assets_small\cnidae.wav
cnidoblast,sˈiːnˈɪdəblˌæst,assets_small\cnidoblast.wav
cnidoblasts,sˈiːnˈɪdəblˌæsts,assets_small\cnidoblasts.wav
cnidarian,sˈiːnɪdˈɛɹiən,assets_small\cnidarian.wav
cnemides,sˈiːnˈɛmaɪdz,assets_small\cnemides.wav
cnida,sˈiːnˈiːdə,assets_small\cnida.wav
cnemis,sˈiːnˈɛmiz,assets_small\cnemis.wav
cnemial,sˈiːnˈɛmɪəl,assets_small\cnemial.wav
copies,kˈɑːpɪz,assets_small\copies.wav
conceptualists,kənsˈɛptʃuːəlˌɪsts,assets_small\conceptualists.wav
corbel,kˈɔːɹbəl,assets_small\corbel.wav
combative,kəmbˈæɾɪv,assets_small\combative.wav
compartmentalized,kɑːmpɑːɹtmˈɛntəlˌaɪzd,assets_small\compartmentalized.wav
controvertists,kˌɑːntɹəvˈɜːɾɪsts,assets_small\controvertists.wav
countermarch,kˈaʊntɚmˌɑːɹtʃ,assets_small\countermarch.wav
convolving,kənvˈɑːlvɪŋ,assets_small\convolving.wav
colluded,kəlˈuːdᵻd,assets_small\colluded.wav
crotals,kɹˈoʊɾəlz,assets_small\crotals.wav
crayers,kɹˈeɪɚz,assets_small\crayers.wav
creatinines,kɹiːˈeɪtɪnˌaɪnz,assets_small\creatinines.wav
crumminess,kɹˈʌmɪnəs,assets_small\crumminess.wav
crunkling,kɹˈʌŋklɪŋ,assets_small\crunkling.wav
crossed,kɹˈɔst,assets_small\crossed.wav
credibly,kɹˈɛdɪbli,assets_small\credibly.wav
crassamentum,kɹˌæsəmˈɛntəm,assets_small\crassamentum.wav
cribbages,kɹˈɪbɪdʒᵻz,assets_small\cribbages.wav
csardases,sˈiːsˈɑːɹdeɪsᵻz,assets_small\csardases.wav
csardas,sˈiːsˈɑːɹdəz,assets_small\csardas.wav
ctenophorans,sˈiːtˈɛnəfˌoːɹənz,assets_small\ctenophorans.wav
ctenidium,sˈiːtɛnˈɪdiəm,assets_small\ctenidium.wav
ctenidia,sˈiːtɛnˈɪdiə,assets_small\ctenidia.wav
ctenoid,sˈiːtˈɛnɔɪd,assets_small\ctenoid.wav
ctenes,sˈiːtˈiːnz,assets_small\ctenes.wav
ctenophores,sˈiːtˈɛnəfˌoːɹz,assets_small\ctenophores.wav
cteniform,sˈiːtˈɛnɪfˌɔːɹm,assets_small\cteniform.wav
ctenophore,sˈiːtˈɛnəfˌoːɹ,assets_small\ctenophore.wav
ctene,sˈiːtˈiːn,assets_small\ctene.wav
curtaxe,kˈɜːɾæks,assets_small\curtaxe.wav
cutinizes,kjˈuːtɪnˌaɪzᵻz,assets_small\cutinizes.wav
curvetted,kˈɜːvɪɾᵻd,assets_small\curvetted.wav
curvilineal,kˈɜːvɪlˌɪniəl,assets_small\curvilineal.wav
cushiness,kˈʊʃinəs,assets_small\cushiness.wav
cuddin,kˈʌdɪn,assets_small\cuddin.wav
cumquat,kˈʌmkwæt,assets_small\cumquat.wav
cuspis,kˈʌspiz,assets_small\cuspis.wav
culets,kjˈʊlɪts,assets_small\culets.wav
cwtch,sˌiːdˌʌbəljˌuːtˈiːsˌiːˈeɪtʃ,assets_small\cwtch.wav
cwtches,sˌiːdˌʌbəljˌuːtˈiːtʃˈɛz,assets_small\cwtches.wav
cwtched,sˌiːdˌʌbəljˌuːtˈiːtʃˈɛd,assets_small\cwtched.wav
cwtching,sˌiːdˌʌbəljˌuːtˈiːtʃˈɪŋ,assets_small\cwtching.wav
cyclops,sˈaɪkləps,assets_small\cyclops.wav
cycasin,sˈaɪkɐsˌɪn,assets_small\cycasin.wav
cyclises,sˈaɪklaɪzᵻz,assets_small\cyclises.wav
cyclery,sˈaɪklɚɹi,assets_small\cyclery.wav
cymographic,sˌaɪməɡɹˈæfɪk,assets_small\cymographic.wav
cyber,sˈaɪbɚ,assets_small\cyber.wav
